Date,Net_Funding_Million_TRY
2024-02-19,-235573.2
2024-02-20,-221339.4
2024-02-21,-187720.0
2024-02-22,-144935.5
2024-02-23,-101899.4
2024-02-26,-81254.4
2024-02-27,-35320.0
2024-02-28,-14064.8
2024-02-29,-110862.8
2024-03-01,26294.4
2024-03-04,155601.1
2024-03-05,184189.3
2024-03-06,243492.4
2024-03-07,239276.9
2024-03-08,244456.7
2024-03-11,154347.2
2024-03-12,144115.7
2024-03-13,133271.1
2024-03-14,228854.1
2024-03-15,46928.0
2024-03-18,84513.5
2024-03-19,122383.2
2024-03-20,176217.2
2024-03-21,224228.9
2024-03-22,26873.5
2024-03-25,25896.8
2024-03-26,23116.2
2024-03-27,-1650.5
2024-03-28,94464.9
2024-03-29,208821.6
2024-04-01,154706.8
2024-04-02,147329.8
2024-04-03,169783.2
2024-04-04,150906.0
2024-04-05,115322.8
2024-04-08,-76314.1
2024-04-09,-104605.3
2024-04-10,
2024-04-11,
2024-04-12,
2024-04-15,-23068.2
2024-04-16,-22377.31
2024-04-17,53722.1
2024-04-18,185025.8
2024-04-19,136671.3
2024-04-22,77620.4
2024-04-23,
2024-04-24,58306.4
2024-04-25,71673.7
2024-04-26,95091.7
2024-04-29,45295.6
2024-04-30,28015.9
2024-05-01,
2024-05-02,16639.1
2024-05-03,53230.6
2024-05-06,-47214.4
2024-05-07,-86633.4
2024-05-08,-163709.2
2024-05-09,-176721.8
2024-05-10,-65558.5
2024-05-13,-113303.0
2024-05-14,-160858.1
2024-05-15,-236321.3
2024-05-16,-258484.7
2024-05-17,-349118.5
2024-05-20,-390202.0
2024-05-21,-462107.0
2024-05-22,-516092.7
2024-05-23,-586315.6
2024-05-24,-79603.8
2024-05-27,73520.5
2024-05-28,124594.1
2024-05-29,64470.7
2024-05-30,134741.4
2024-05-31,132467.9
2024-06-03,123993.44
2024-06-04,92918.06
2024-06-05,210532.4
2024-06-06,199171.0
2024-06-07,220994.3
2024-06-10,199924.55
2024-06-11,166101.85
2024-06-12,163744.75
2024-06-13,123638.8
2024-06-14,24422.15
2024-06-17,
2024-06-18,
2024-06-19,
2024-06-20,-263922.5
2024-06-21,52828.5
2024-06-24,41577.3
2024-06-25,26762.9
2024-06-26,60825.8
2024-06-27,50008.2
2024-06-28,234633.2
2024-07-01,140980.2
2024-07-02,119362.7
2024-07-03,128274.57
2024-07-04,195514.6
2024-07-05,230667.5
2024-07-08,138677.2
2024-07-09,135622.3
2024-07-10,144803.72
2024-07-11,74833.3
2024-07-12,-143411.5
2024-07-15,
2024-07-16,-137412.16
2024-07-17,-202425.8
2024-07-18,-294238.7
2024-07-19,-143541.4
2024-07-22,-211597.4
2024-07-23,-202427.0
2024-07-24,-216221.2
2024-07-25,-193801.3
2024-07-26,-271938.5
2024-07-29,-318268.6
2024-07-30,-347543.52
2024-07-31,-220371.74
2024-08-01,-389073.8
